genre,tempo,danceability,energy,acousticness,valence,duration_ms
Fuji,139.2,0.37,0.73,0.06,0.27,282923
Highlife,85.8,0.67,0.98,0.05,0.47,283091
Gospel,113.4,0.47,1.0,0.0,0.48,266309
Afrobeat,123.9,0.65,0.93,0.19,0.72,241177
Fuji,149.8,0.39,1.0,0.47,0.53,280372
Afrobeat,123.4,0.59,0.47,0.48,0.43,275509
Highlife,122.7,0.62,0.92,0.68,0.79,218758
Highlife,119.0,0.33,0.51,0.3,0.27,205584
Gospel,110.4,0.5,0.81,0.0,0.45,246111
Gospel,125.6,0.38,0.98,0.05,0.23,332941
Highlife,115.8,0.34,0.77,0.31,0.64,165654
Fuji,156.1,0.89,1.0,0.0,0.75,151948
Afrobeat,126.9,0.49,0.78,0.55,0.37,249886
Juju,94.7,0.79,0.85,0.05,0.72,243053
Gospel,146.5,0.45,0.95,0.13,0.38,250400
Juju,122.3,0.71,1.0,0.36,0.75,254637
Fuji,121.5,0.76,0.93,0.0,0.65,226608
Gospel,152.2,0.66,1.0,0.0,0.68,329392
Juju,150.6,0.58,0.69,0.45,0.21,143946
Fuji,153.6,0.55,1.0,0.12,0.78,190290
Afrobeat,103.2,0.51,0.78,0.14,0.64,233805
Fuji,128.8,0.86,0.82,0.5,0.38,141409
Gospel,146.6,0.8,0.85,0.0,0.7,229449
Highlife,144.5,0.88,0.87,0.49,0.37,339688
Afrobeat,110.4,0.37,0.76,0.79,0.72,241253
Juju,126.3,0.74,0.75,0.07,0.27,253842
Gospel,117.9,0.86,1.0,0.0,0.62,164390
Highlife,101.1,0.41,0.58,0.08,0.52,203018
Fuji,151.3,0.34,0.94,0.01,0.26,217488
Highlife,152.1,0.74,1.0,0.07,0.35,220937
Gospel,138.6,0.64,1.0,0.18,0.21,316899
Gospel,160.1,0.81,1.0,0.0,0.48,273461
Highlife,132.2,0.38,0.72,0.36,0.38,173313
Fuji,122.1,0.78,0.85,0.5,0.56,254790
Highlife,132.2,0.42,1.0,0.57,0.38,269893
Gospel,170.8,0.4,1.0,0.13,0.38,308409
Gospel,139.3,0.4,1.0,0.0,0.65,334832
Juju,161.3,0.79,0.73,0.34,0.23,179094
Juju,77.6,0.7,0.72,0.27,0.74,191349
Afrobeat,136.4,0.61,0.42,0.4,0.71,164545
Gospel,141.7,0.52,1.0,0.0,0.6,225959
Juju,124.0,0.83,0.8,0.52,0.56,267982
Highlife,126.8,0.54,0.98,0.31,0.74,299240
Fuji,95.2,0.79,0.96,0.0,0.31,235443
Highlife,120.6,0.56,1.0,0.26,0.25,220809
Fuji,142.1,0.53,0.8,0.09,0.34,249105
Juju,159.6,0.58,1.0,0.48,0.68,189891
Afrobeat,109.6,0.48,0.83,0.61,0.22,365372
Highlife,108.8,0.75,0.92,0.54,0.55,143540
Highlife,115.0,0.6,0.96,0.01,0.8,251084
Highlife,143.3,0.44,0.92,0.29,0.71,361416
Fuji,141.6,0.84,1.0,0.14,0.51,240408
Juju,119.4,0.53,0.67,0.0,0.24,228598
Highlife,135.3,0.63,0.52,0.18,0.7,218553
Highlife,126.9,0.84,1.0,0.53,0.56,229176
Afrobeat,139.4,0.67,0.74,0.2,0.27,322371
Afrobeat,106.0,0.37,0.84,0.47,0.26,107288
Juju,123.4,0.86,0.86,0.05,0.75,332006
Juju,122.2,0.68,0.66,0.0,0.6,154563
Gospel,110.7,0.5,0.87,0.0,0.7,224001
Afrobeat,125.9,0.38,0.78,0.78,0.73,214245
Gospel,145.2,0.78,1.0,0.26,0.54,275313
Fuji,135.1,0.67,0.81,0.47,0.51,144113
Gospel,135.3,0.62,1.0,0.04,0.46,267730
Highlife,96.7,0.84,0.54,0.08,0.39,361459
Gospel,131.6,0.77,1.0,0.08,0.46,158210
Juju,123.1,0.39,0.75,0.22,0.66,251382
Fuji,119.0,0.49,1.0,0.39,0.56,200281
Highlife,121.8,0.45,0.67,0.07,0.74,265553
Gospel,148.1,0.75,1.0,0.04,0.47,241149
Fuji,172.7,0.32,0.71,0.0,0.56,201511
Fuji,138.5,0.64,0.74,0.03,0.58,269272
Highlife,130.2,0.76,0.72,0.52,0.56,348261
Gospel,138.5,0.83,1.0,0.03,0.62,228546
Fuji,96.6,0.51,1.0,0.06,0.34,283185
Fuji,134.5,0.79,0.86,0.08,0.51,162404
Afrobeat,121.2,0.37,0.78,0.42,0.26,182614
Fuji,184.3,0.81,1.0,0.35,0.43,268344
Afrobeat,116.2,0.38,0.83,0.72,0.49,329047
Gospel,146.0,0.54,0.82,0.37,0.59,261337
Gospel,139.3,0.78,1.0,0.25,0.77,221217
Gospel,116.6,0.39,0.86,0.0,0.56,239957
Juju,152.9,0.44,0.73,0.38,0.65,164976
Gospel,155.0,0.73,1.0,0.01,0.5,276271
Fuji,150.8,0.73,0.78,0.0,0.58,292940
Highlife,106.8,0.68,0.77,0.59,0.24,212875
Afrobeat,148.1,0.72,0.74,0.13,0.35,211797
Juju,102.0,0.63,0.99,0.53,0.42,255953
Gospel,151.7,0.45,1.0,0.02,0.48,213797
Gospel,183.8,0.51,0.81,0.15,0.23,236032
Highlife,105.2,0.41,0.68,0.46,0.28,365983
Highlife,113.7,0.85,0.78,0.63,0.37,225178
Juju,132.0,0.65,0.65,0.35,0.78,218500
Afrobeat,109.9,0.54,0.59,0.53,0.4,201147
Gospel,109.0,0.58,0.82,0.0,0.49,284652
Juju,131.4,0.87,0.64,0.26,0.32,229127
Fuji,113.8,0.39,0.92,0.0,0.57,201038
Fuji,144.5,0.65,0.77,0.32,0.37,319278
Juju,111.6,0.6,0.91,0.26,0.32,325176
Gospel,171.0,0.67,1.0,0.18,0.51,203975
Juju,114.3,0.31,1.0,0.0,0.2,128008
Gospel,133.6,0.82,0.91,0.0,0.2,300451
Highlife,141.3,0.86,0.59,0.5,0.33,198922
Juju,105.4,0.64,0.66,0.0,0.22,287438
Gospel,144.5,0.72,1.0,0.0,0.26,121794
Juju,156.1,0.85,0.99,0.0,0.4,293556
Juju,97.9,0.72,0.62,0.57,0.68,167330
Gospel,143.7,0.39,1.0,0.22,0.54,283846
Gospel,145.2,0.65,0.83,0.0,0.51,240856
Afrobeat,135.6,0.66,0.7,0.31,0.38,182764
Juju,105.3,0.55,0.99,0.14,0.76,215578
Fuji,108.6,0.74,1.0,0.34,0.44,281179
Juju,140.4,0.86,0.99,0.36,0.25,246354
Juju,135.9,0.86,1.0,0.03,0.57,275065
Gospel,145.0,0.57,0.99,0.0,0.27,358586
Juju,136.9,0.37,1.0,0.0,0.41,146146
Juju,116.4,0.89,0.64,0.36,0.5,337033
Fuji,139.6,0.8,1.0,0.34,0.72,246261
Gospel,145.9,0.37,1.0,0.0,0.5,186073
Juju,115.7,0.85,1.0,0.0,0.62,160181
Highlife,162.3,0.82,0.75,0.06,0.8,228653
Afrobeat,129.5,0.61,0.75,0.78,0.28,295299
Fuji,111.2,0.65,0.99,0.01,0.36,232347
Juju,143.1,0.54,1.0,0.44,0.44,330669
Highlife,105.5,0.33,0.54,0.44,0.45,152929
Juju,145.7,0.5,0.63,0.17,0.45,239275
Juju,153.2,0.78,0.74,0.04,0.74,164856
Gospel,123.6,0.3,0.89,0.0,0.63,261818
Gospel,159.3,0.5,1.0,0.13,0.56,293213
Gospel,148.3,0.54,0.92,0.24,0.39,214754
Highlife,141.4,0.62,1.0,0.45,0.69,83747
Juju,167.9,0.85,0.79,0.27,0.77,251937
Afrobeat,115.1,0.51,0.5,0.13,0.69,266204
Fuji,119.9,0.51,1.0,0.48,0.2,264258
Gospel,122.2,0.74,1.0,0.26,0.58,314147
Gospel,123.7,0.57,1.0,0.0,0.23,175737
Juju,128.5,0.43,0.91,0.59,0.35,280813
Juju,136.8,0.57,1.0,0.32,0.24,311550
Highlife,130.5,0.38,0.63,0.41,0.56,133285
Highlife,141.5,0.41,1.0,0.52,0.61,259179
Gospel,140.3,0.6,1.0,0.27,0.27,209749
Juju,159.1,0.55,0.96,0.36,0.43,235109
Afrobeat,114.7,0.85,0.51,0.19,0.47,260861
Fuji,189.4,0.52,1.0,0.04,0.42,210766
Juju,142.5,0.65,0.64,0.55,0.27,199458
Juju,112.9,0.68,0.62,0.06,0.45,242049
Highlife,103.6,0.31,0.64,0.26,0.65,174765
Fuji,144.6,0.7,0.95,0.1,0.24,174850
Gospel,135.5,0.41,1.0,0.01,0.25,280762
Juju,144.3,0.88,1.0,0.33,0.41,171072
Gospel,149.5,0.39,1.0,0.36,0.77,279979
Juju,128.5,0.55,0.83,0.07,0.6,267755
Gospel,123.1,0.35,0.99,0.0,0.61,136452
Fuji,104.7,0.9,0.9,0.0,0.42,199346
Highlife,116.1,0.6,1.0,0.62,0.56,311647
Fuji,152.1,0.66,0.72,0.25,0.21,181130
Afrobeat,124.3,0.34,0.88,0.3,0.58,212136
Highlife,100.1,0.75,0.82,0.57,0.75,267724
Fuji,138.5,0.43,0.94,0.4,0.57,287003
Afrobeat,127.7,0.84,0.8,0.69,0.72,224908
Juju,112.3,0.42,0.87,0.54,0.63,204149
Juju,133.1,0.41,1.0,0.08,0.27,325342
Gospel,141.2,0.32,1.0,0.23,0.74,344334
Highlife,102.1,0.58,0.73,0.32,0.24,298731
Juju,137.2,0.64,0.75,0.49,0.52,245119
Highlife,136.2,0.34,0.83,0.51,0.29,191504
Juju,151.7,0.77,1.0,0.44,0.21,190173
Gospel,161.1,0.57,0.92,0.16,0.45,271351
Fuji,107.4,0.61,1.0,0.0,0.38,265104
Gospel,121.2,0.56,1.0,0.08,0.49,324096
Afrobeat,130.3,0.54,0.8,0.79,0.55,279027
Juju,140.3,0.64,0.67,0.56,0.23,149815
Afrobeat,130.3,0.39,0.79,0.13,0.27,303117
Afrobeat,197.1,0.41,0.9,0.22,0.54,180116
Highlife,136.4,0.82,0.6,0.09,0.41,216962
Juju,152.7,0.87,0.73,0.41,0.64,255012
Afrobeat,139.1,0.52,0.93,0.67,0.59,359740
Fuji,148.0,0.46,0.8,0.0,0.71,426595
Afrobeat,113.7,0.69,0.87,0.45,0.62,276403
Fuji,150.2,0.55,0.97,0.39,0.46,229008
Highlife,109.5,0.32,0.64,0.51,0.6,272070
Afrobeat,115.3,0.39,0.88,0.48,0.37,293259
Gospel,130.3,0.73,1.0,0.11,0.38,220760
Highlife,126.6,0.7,0.78,0.36,0.67,347713
Fuji,181.3,0.32,0.9,0.01,0.47,253804
Highlife,87.7,0.43,0.83,0.4,0.68,269865
Afrobeat,133.7,0.44,0.49,0.58,0.69,279955
Juju,97.7,0.7,0.82,0.51,0.71,265295
Juju,120.6,0.31,1.0,0.35,0.75,290336
Fuji,156.8,0.36,0.84,0.33,0.46,202965
Fuji,136.3,0.78,1.0,0.0,0.39,206502
Juju,108.4,0.41,0.78,0.22,0.55,173991
Fuji,120.7,0.69,1.0,0.0,0.42,266370
Highlife,138.6,0.44,0.57,0.17,0.56,286736
Gospel,125.4,0.36,1.0,0.21,0.62,267466
Gospel,144.3,0.45,1.0,0.39,0.61,340470
Highlife,125.9,0.73,0.63,0.07,0.42,239664
Gospel,127.0,0.81,0.84,0.0,0.3,280124
Afrobeat,162.9,0.8,0.49,0.66,0.46,174498
Highlife,137.7,0.54,0.79,0.14,0.29,216774
Fuji,94.5,0.7,0.89,0.19,0.73,281732
Highlife,128.7,0.42,0.96,0.51,0.41,290946
Juju,116.8,0.48,0.84,0.33,0.29,222362
Fuji,152.0,0.84,0.84,0.0,0.22,235704
Juju,114.1,0.31,0.94,0.15,0.59,148928
Fuji,132.7,0.35,1.0,0.35,0.58,218578
Gospel,150.1,0.42,0.89,0.09,0.4,293423
Highlife,142.3,0.32,0.59,0.0,0.24,274512
Afrobeat,96.0,0.41,0.42,0.63,0.45,270040
Fuji,128.3,0.65,1.0,0.0,0.39,242986
Fuji,125.5,0.55,1.0,0.32,0.61,240424
Juju,116.9,0.84,0.86,0.04,0.56,200381
Gospel,175.3,0.79,1.0,0.37,0.42,281930
Juju,138.1,0.51,1.0,0.16,0.33,265258
Juju,104.8,0.46,0.92,0.13,0.79,269521
Gospel,158.4,0.53,1.0,0.0,0.47,208438
Afrobeat,162.4,0.65,0.51,0.31,0.61,110799
Juju,150.6,0.46,0.66,0.51,0.28,305829
Juju,99.6,0.67,0.75,0.6,0.49,211270
Fuji,125.3,0.55,0.73,0.06,0.22,188233
Gospel,165.3,0.63,1.0,0.01,0.5,281609
Highlife,110.8,0.56,1.0,0.51,0.78,216479
Afrobeat,128.9,0.48,0.42,0.72,0.43,303596
Afrobeat,135.5,0.87,0.47,0.52,0.22,277020
Gospel,121.5,0.76,1.0,0.0,0.22,281014
Fuji,133.8,0.38,1.0,0.09,0.43,158043
Fuji,70.2,0.82,0.87,0.29,0.3,312717
Gospel,119.5,0.59,1.0,0.0,0.21,255675
Fuji,129.9,0.84,0.72,0.23,0.65,217843
Afrobeat,95.0,0.78,0.48,0.35,0.48,248603
Afrobeat,152.6,0.56,0.94,0.66,0.37,133426
Highlife,96.4,0.31,1.0,0.07,0.74,264519
Gospel,131.2,0.46,0.8,0.11,0.27,178238
Juju,132.6,0.62,1.0,0.24,0.77,158840
Juju,158.8,0.68,0.95,0.35,0.39,148658
Highlife,96.3,0.45,0.98,0.05,0.73,306761
Highlife,148.3,0.38,0.75,0.41,0.56,202244
Fuji,135.2,0.8,0.98,0.19,0.7,332024
Highlife,105.4,0.89,0.77,0.39,0.79,207852
Highlife,134.2,0.62,0.87,0.42,0.37,137559
Juju,134.0,0.4,0.68,0.37,0.78,173009
Fuji,123.0,0.46,0.72,0.36,0.43,314149
Highlife,126.4,0.31,0.67,0.19,0.43,230646
Highlife,117.3,0.85,0.89,0.58,0.4,207103
Fuji,137.3,0.37,0.81,0.15,0.52,249601
Gospel,153.2,0.65,1.0,0.0,0.29,270107
Fuji,166.7,0.46,1.0,0.0,0.53,307044
Juju,105.2,0.63,0.65,0.13,0.53,326910
Gospel,182.7,0.69,1.0,0.25,0.66,218414
Afrobeat,81.0,0.8,0.64,0.6,0.7,160437
Fuji,132.0,0.42,1.0,0.35,0.46,215192
Juju,141.8,0.31,0.7,0.26,0.38,255617
Gospel,145.6,0.38,1.0,0.01,0.36,182174
Fuji,122.5,0.84,1.0,0.0,0.32,182571
Highlife,120.8,0.82,1.0,0.23,0.23,260627
Fuji,125.1,0.66,1.0,0.1,0.41,237081
Afrobeat,108.2,0.66,0.67,0.16,0.36,241968
Fuji,152.0,0.7,1.0,0.0,0.78,194490
Gospel,147.1,0.41,1.0,0.12,0.53,226176
Gospel,126.1,0.85,1.0,0.21,0.41,184546
Fuji,153.0,0.55,0.72,0.5,0.55,293412
Gospel,146.1,0.53,1.0,0.35,0.28,302115
Highlife,141.3,0.61,0.88,0.45,0.47,129229
Fuji,147.6,0.33,1.0,0.09,0.58,184229
Highlife,108.4,0.4,0.62,0.45,0.49,150208
Highlife,113.8,0.74,0.86,0.55,0.44,200999
Juju,144.9,0.35,0.82,0.0,0.8,234994
Fuji,147.2,0.66,1.0,0.09,0.73,153021
Gospel,139.6,0.45,0.86,0.29,0.57,184688
Highlife,127.3,0.53,0.86,0.27,0.54,179763
Juju,155.6,0.47,1.0,0.3,0.57,252436
Fuji,123.2,0.51,0.73,0.21,0.32,244161
Fuji,145.9,0.73,1.0,0.0,0.44,196696
Afrobeat,116.0,0.48,0.62,0.35,0.22,250609
Afrobeat,115.6,0.64,0.88,0.33,0.49,207199
Highlife,147.0,0.59,0.93,0.02,0.53,223701
Afrobeat,136.5,0.7,0.71,0.12,0.34,340407
Highlife,141.3,0.86,0.91,0.58,0.78,320428
Gospel,166.1,0.74,1.0,0.0,0.75,162025
Highlife,125.4,0.43,0.72,0.36,0.63,289784
Afrobeat,133.6,0.32,0.58,0.31,0.52,288684
Gospel,133.8,0.46,1.0,0.36,0.72,171104
Afrobeat,126.5,0.66,0.84,0.28,0.28,289127
Highlife,122.4,0.33,0.92,0.3,0.67,332276
Juju,131.9,0.6,1.0,0.51,0.27,172647
Fuji,146.9,0.66,0.94,0.39,0.68,184950
Afrobeat,103.6,0.5,0.85,0.23,0.37,301060
Highlife,166.8,0.76,0.57,0.56,0.73,256290
Gospel,119.9,0.36,1.0,0.02,0.77,273089
Afrobeat,95.7,0.35,0.4,0.44,0.29,260435
Afrobeat,143.2,0.74,0.58,0.19,0.48,263442
Fuji,150.8,0.6,0.9,0.0,0.79,160412
Highlife,137.5,0.71,0.72,0.51,0.49,302839
Juju,142.6,0.56,0.98,0.25,0.72,310175
Gospel,139.8,0.45,1.0,0.01,0.55,226237
Highlife,107.1,0.79,0.75,0.51,0.43,237391
Gospel,141.5,0.78,0.93,0.24,0.37,148134
Afrobeat,106.5,0.72,0.61,0.21,0.32,270855
Fuji,154.5,0.46,0.82,0.23,0.66,274323
Fuji,132.1,0.65,0.74,0.0,0.43,236269
Juju,113.5,0.52,0.93,0.43,0.51,307461
Fuji,128.6,0.35,1.0,0.26,0.5,219955
Afrobeat,128.3,0.85,0.74,0.77,0.55,273876
Juju,118.7,0.38,0.85,0.0,0.72,178820
Highlife,108.6,0.87,0.71,0.04,0.79,238587
Fuji,139.9,0.57,1.0,0.0,0.44,229539
Juju,134.9,0.41,0.89,0.08,0.7,253518
Afrobeat,109.9,0.63,0.66,0.27,0.66,217828
Gospel,130.6,0.82,0.81,0.33,0.54,232112
Gospel,144.6,0.74,0.99,0.0,0.77,289563
Afrobeat,91.0,0.78,0.61,0.29,0.32,213794
Afrobeat,91.9,0.7,0.62,0.63,0.27,143605
Gospel,125.6,0.72,1.0,0.01,0.71,344975
Juju,125.7,0.81,0.89,0.44,0.46,322887
Gospel,146.2,0.45,1.0,0.0,0.71,162464
Afrobeat,149.5,0.59,0.82,0.44,0.74,281382
Fuji,152.2,0.43,1.0,0.0,0.24,209822
Highlife,121.8,0.89,0.89,0.04,0.73,255809
Fuji,134.6,0.87,1.0,0.43,0.47,257653
Fuji,114.9,0.32,0.71,0.0,0.51,225936
Afrobeat,119.6,0.72,0.51,0.47,0.58,192974
Gospel,134.2,0.86,0.8,0.0,0.76,198568
Juju,136.5,0.41,0.96,0.14,0.21,185028
Fuji,118.5,0.64,1.0,0.43,0.49,190091
Gospel,150.4,0.85,0.93,0.0,0.61,235969
Juju,160.7,0.32,1.0,0.36,0.63,197054
Fuji,132.8,0.72,0.73,0.47,0.62,280923
Juju,138.0,0.48,1.0,0.29,0.28,329235
Gospel,153.8,0.85,0.99,0.36,0.38,205197
Highlife,117.0,0.88,0.56,0.04,0.42,254364
Gospel,144.5,0.87,1.0,0.0,0.68,269981
Afrobeat,120.3,0.58,0.54,0.28,0.37,268320
Juju,132.0,0.82,0.76,0.41,0.33,244557
Highlife,109.5,0.81,0.67,0.69,0.77,284561
Juju,130.5,0.49,1.0,0.08,0.21,268935
Juju,140.0,0.8,0.9,0.36,0.8,165740
Fuji,164.0,0.32,0.87,0.0,0.61,292149
Afrobeat,139.2,0.66,0.74,0.5,0.7,293237
Juju,173.1,0.44,0.99,0.22,0.38,194203
Gospel,124.7,0.37,0.95,0.38,0.21,242276
Gospel,157.4,0.35,1.0,0.13,0.64,281000
Fuji,138.7,0.72,0.77,0.04,0.7,227441
Afrobeat,163.8,0.5,0.5,0.18,0.64,304379
Afrobeat,103.8,0.73,0.77,0.21,0.29,381832
Gospel,123.2,0.34,0.9,0.0,0.65,192841
Highlife,113.0,0.49,0.79,0.18,0.66,157137
Fuji,92.5,0.62,1.0,0.4,0.6,258229
Fuji,124.5,0.77,0.76,0.19,0.66,283294
Gospel,124.8,0.49,1.0,0.07,0.71,226148
Gospel,143.0,0.68,0.94,0.0,0.57,327196
Highlife,131.8,0.83,1.0,0.6,0.25,159684
Highlife,162.5,0.67,0.77,0.51,0.49,281575
Afrobeat,139.0,0.44,0.84,0.15,0.25,203648
Fuji,123.5,0.31,1.0,0.3,0.44,343163
Fuji,117.0,0.82,0.72,0.18,0.44,359551
Gospel,149.8,0.31,1.0,0.0,0.24,194001
Afrobeat,93.6,0.82,0.92,0.42,0.41,207027
Fuji,171.6,0.62,1.0,0.14,0.27,291575
Afrobeat,143.6,0.86,0.85,0.22,0.68,216772
Afrobeat,110.6,0.78,0.89,0.76,0.77,237275
Gospel,105.7,0.9,0.93,0.29,0.24,241523
Afrobeat,147.1,0.51,0.52,0.57,0.77,124820
Highlife,122.7,0.76,0.84,0.32,0.51,239170
Highlife,149.8,0.54,0.73,0.29,0.38,198616
Juju,98.1,0.59,1.0,0.36,0.25,210413
Gospel,128.0,0.68,1.0,0.08,0.5,326618
Juju,130.1,0.82,0.79,0.0,0.68,164610
Highlife,125.9,0.89,0.63,0.36,0.62,288792
Juju,121.0,0.76,1.0,0.46,0.23,223262
Gospel,152.5,0.55,0.95,0.02,0.24,223214
Gospel,118.6,0.55,1.0,0.0,0.44,287422
Afrobeat,117.2,0.74,0.63,0.65,0.38,260403
Fuji,137.4,0.44,1.0,0.0,0.34,274237
Afrobeat,130.3,0.37,0.45,0.28,0.37,298091
Gospel,154.2,0.51,1.0,0.0,0.68,220121
Highlife,102.5,0.47,0.75,0.23,0.76,203266
Highlife,94.3,0.48,0.82,0.53,0.44,174891
Afrobeat,145.6,0.44,0.49,0.46,0.74,190475
Gospel,146.6,0.33,1.0,0.0,0.39,416946
Highlife,110.0,0.31,0.97,0.61,0.49,314681
Gospel,171.0,0.89,0.92,0.32,0.34,158936
Highlife,127.3,0.56,0.55,0.61,0.58,160653
Gospel,163.6,0.53,0.81,0.0,0.79,268912
Juju,131.4,0.71,0.95,0.22,0.56,272836
Gospel,181.2,0.43,1.0,0.39,0.41,272933
Gospel,175.1,0.87,1.0,0.24,0.59,224703
Afrobeat,115.0,0.77,0.53,0.12,0.27,232473
Juju,149.4,0.35,0.81,0.0,0.73,259673
Fuji,147.9,0.55,1.0,0.12,0.5,245154
Afrobeat,147.4,0.83,0.67,0.74,0.47,106842
Fuji,115.7,0.87,1.0,0.18,0.55,226212
Highlife,138.7,0.58,0.58,0.35,0.57,188916
Fuji,156.2,0.67,1.0,0.0,0.24,250513
Gospel,104.8,0.4,1.0,0.16,0.61,419116
Fuji,111.3,0.89,0.94,0.38,0.35,262049
Afrobeat,79.2,0.44,0.79,0.37,0.63,221188
Afrobeat,114.6,0.87,0.78,0.64,0.69,295308
Fuji,149.4,0.69,1.0,0.48,0.68,268961
Afrobeat,150.0,0.66,0.47,0.24,0.53,265206
Afrobeat,121.5,0.61,0.46,0.47,0.51,276411
Fuji,167.6,0.44,1.0,0.0,0.29,363393
Juju,102.4,0.41,0.92,0.45,0.67,172147
Juju,95.9,0.43,0.75,0.3,0.36,268418
Highlife,123.9,0.41,0.54,0.44,0.5,184417
Afrobeat,127.7,0.77,0.45,0.66,0.37,273331
Fuji,134.3,0.51,1.0,0.08,0.28,184879
Afrobeat,78.7,0.33,0.51,0.74,0.58,214958
Gospel,138.2,0.88,0.98,0.07,0.23,222295
Afrobeat,93.9,0.83,0.52,0.21,0.65,298549
Afrobeat,133.4,0.86,0.6,0.59,0.39,295107
Juju,137.3,0.9,0.64,0.46,0.2,165257
Fuji,116.2,0.4,0.99,0.02,0.51,243296
Afrobeat,109.7,0.54,0.44,0.7,0.23,197425
Juju,108.8,0.75,1.0,0.53,0.37,164490
Highlife,123.7,0.72,0.63,0.19,0.62,226979
Juju,149.1,0.39,0.9,0.59,0.24,221491
Juju,110.3,0.79,1.0,0.0,0.7,385603
Juju,140.1,0.43,0.96,0.04,0.2,265978
Afrobeat,109.4,0.43,0.69,0.23,0.35,157343
Afrobeat,104.1,0.62,0.58,0.73,0.64,206114
Highlife,122.9,0.66,0.68,0.46,0.39,301283
Gospel,119.3,0.65,1.0,0.0,0.26,365307
Gospel,128.9,0.35,1.0,0.01,0.42,144841
Gospel,116.0,0.83,1.0,0.13,0.36,127205
Highlife,164.3,0.46,0.81,0.06,0.71,352258
Gospel,140.7,0.38,1.0,0.32,0.39,263377
Gospel,126.0,0.83,1.0,0.26,0.67,187902
Juju,134.3,0.87,0.63,0.25,0.74,272078
Afrobeat,117.8,0.82,0.71,0.78,0.46,81855
Afrobeat,115.6,0.79,0.93,0.39,0.75,240203
Juju,142.3,0.69,0.7,0.59,0.43,259669
Juju,145.2,0.63,0.98,0.37,0.78,295456
Juju,119.4,0.35,0.71,0.34,0.25,179166
Afrobeat,108.5,0.55,0.69,0.22,0.61,245141
Gospel,134.5,0.52,0.85,0.32,0.5,184475
Juju,84.0,0.46,0.85,0.2,0.43,255323
Highlife,94.7,0.73,0.92,0.11,0.58,186279
Juju,157.3,0.6,0.79,0.0,0.62,215514
Fuji,167.9,0.35,1.0,0.19,0.2,180251
Juju,125.0,0.43,1.0,0.27,0.3,279068
Afrobeat,131.5,0.71,0.91,0.6,0.63,291507
Juju,136.2,0.35,0.73,0.52,0.6,225923
Fuji,196.6,0.81,0.92,0.0,0.78,242294
Highlife,147.4,0.6,0.58,0.51,0.66,153085
Gospel,137.4,0.59,1.0,0.0,0.77,222019
Juju,110.9,0.66,1.0,0.5,0.62,236988
Fuji,102.9,0.79,1.0,0.37,0.38,397248
Fuji,139.1,0.51,1.0,0.18,0.26,173282
Highlife,109.9,0.71,0.79,0.5,0.67,327851
Afrobeat,91.6,0.64,0.74,0.32,0.59,299812
Juju,117.1,0.46,0.65,0.23,0.23,256838
Fuji,113.4,0.83,1.0,0.38,0.42,345517
Highlife,158.7,0.78,0.57,0.32,0.77,262326
Gospel,157.6,0.7,1.0,0.0,0.5,263350
Fuji,134.8,0.81,1.0,0.15,0.46,236813
Highlife,154.6,0.82,0.89,0.58,0.47,313414
Afrobeat,121.5,0.73,0.42,0.33,0.33,305788
Afrobeat,102.8,0.8,0.57,0.22,0.42,202459
Fuji,165.5,0.72,0.84,0.3,0.42,160845
