date,day_of_year,price,high_price,low_price,variety,month
2023-05-30,150,0.69,0.86,0.55,Jack-o-Lantern,5
2023-05-31,151,0.68,0.92,0.61,Jack-o-Lantern,5
2023-06-01,152,0.69,0.91,0.46,Pie,6
2023-06-02,153,0.58,0.73,0.35,Cinderella,6
2023-06-03,154,0.66,0.87,0.52,Cinderella,6
2023-06-04,155,0.67,0.9,0.5,Pie,6
2023-06-05,156,0.56,0.68,0.45,Pie,6
2023-06-06,157,0.81,1.04,0.64,Pie,6
2023-06-07,158,0.67,0.84,0.45,Jack-o-Lantern,6
2023-06-08,159,0.5,0.73,0.33,Jack-o-Lantern,6
2023-06-09,160,0.68,0.84,0.53,Jack-o-Lantern,6
2023-06-10,161,0.51,0.62,0.35,Pie,6
2023-06-11,162,0.68,0.8,0.51,Jack-o-Lantern,6
2023-06-12,163,0.71,0.92,0.57,Jack-o-Lantern,6
2023-06-13,164,0.51,0.72,0.37,Jack-o-Lantern,6
2023-06-14,165,0.69,0.84,0.55,Baby Boo,6
2023-06-15,166,0.63,0.86,0.46,Pie,6
2023-06-16,167,0.66,0.78,0.45,Jack-o-Lantern,6
2023-06-17,168,0.76,0.96,0.57,Jack-o-Lantern,6
2023-06-18,169,0.54,0.68,0.4,Jack-o-Lantern,6
2023-06-19,170,0.49,0.66,0.25,Cinderella,6
2023-06-20,171,0.47,0.67,0.29,Jack-o-Lantern,6
2023-06-21,172,0.47,0.63,0.25,Baby Boo,6
2023-06-22,173,0.54,0.72,0.34,Pie,6
2023-06-23,174,0.58,0.83,0.44,Pie,6
2023-06-24,175,0.57,0.74,0.38,Cinderella,6
2023-06-25,176,0.62,0.86,0.42,Jack-o-Lantern,6
2023-06-26,177,0.53,0.67,0.26,Pie,6
2023-06-27,178,0.67,0.9,0.51,Pie,6
2023-06-28,179,0.49,0.76,0.32,Pie,6
2023-06-29,180,0.78,0.86,0.69,Cinderella,6
2023-06-30,181,0.57,0.73,0.35,Pie,6
2023-07-01,182,0.42,0.65,0.23,Pie,7
2023-07-02,183,0.39,0.58,0.2,Pie,7
2023-07-03,184,0.54,0.76,0.42,Jack-o-Lantern,7
2023-07-04,185,0.46,0.63,0.26,Pie,7
2023-07-05,186,0.55,0.76,0.37,Jack-o-Lantern,7
2023-07-06,187,0.52,0.72,0.35,Pie,7
2023-07-07,188,0.46,0.72,0.27,Cinderella,7
2023-07-08,189,0.38,0.59,0.16,Pie,7
2023-07-09,190,0.31,0.53,0.12,Jack-o-Lantern,7
2023-07-10,191,0.41,0.59,0.27,Cinderella,7
2023-07-11,192,0.54,0.71,0.29,Jack-o-Lantern,7
2023-07-12,193,0.47,0.65,0.27,Jack-o-Lantern,7
2023-07-13,194,0.32,0.54,0.08,Pie,7
2023-07-14,195,0.45,0.63,0.31,Pie,7
2023-07-15,196,0.47,0.68,0.19,Jack-o-Lantern,7
2023-07-16,197,0.34,0.64,0.11,Baby Boo,7
2023-07-17,198,0.44,0.68,0.26,Jack-o-Lantern,7
2023-07-18,199,0.42,0.61,0.3,Jack-o-Lantern,7
2023-07-19,200,0.3,0.56,0.09,Cinderella,7
2023-07-20,201,0.44,0.62,0.21,Jack-o-Lantern,7
2023-07-21,202,0.46,0.56,0.35,Pie,7
2023-07-22,203,0.5,0.65,0.23,Jack-o-Lantern,7
2023-07-23,204,0.5,0.6,0.19,Baby Boo,7
2023-07-24,205,0.25,0.43,0.07,Pie,7
2023-07-25,206,0.29,0.49,0.06,Jack-o-Lantern,7
2023-07-26,207,0.43,0.71,0.18,Pie,7
2023-07-27,208,0.42,0.64,0.26,Jack-o-Lantern,7
2023-07-28,209,0.42,0.61,0.23,Pie,7
2023-07-29,210,0.75,0.99,0.52,Jack-o-Lantern,7
2023-07-30,211,0.42,0.51,0.15,Cinderella,7
2023-07-31,212,0.47,0.68,0.31,Pie,7
2023-08-01,213,0.45,0.68,0.28,Jack-o-Lantern,8
2023-08-02,214,0.41,0.54,0.21,Cinderella,8
2023-08-03,215,0.31,0.57,0.2,Baby Boo,8
2023-08-04,216,0.41,0.63,0.16,Pie,8
2023-08-05,217,0.25,0.43,-0.02,Jack-o-Lantern,8
2023-08-06,218,0.3,0.54,0.07,Pie,8
2023-08-07,219,0.28,0.59,0.07,Baby Boo,8
2023-08-08,220,0.33,0.54,0.14,Baby Boo,8
2023-08-09,221,0.55,0.76,0.33,Jack-o-Lantern,8
2023-08-10,222,0.12,0.3,-0.06,Cinderella,8
2023-08-11,223,0.38,0.53,0.11,Jack-o-Lantern,8
2023-08-12,224,0.14,0.38,0.01,Jack-o-Lantern,8
2023-08-13,225,0.25,0.41,0.05,Pie,8
2023-08-14,226,0.4,0.61,0.26,Cinderella,8
2023-08-15,227,0.3,0.47,0.12,Pie,8
2023-08-16,228,0.18,0.4,0.0,Cinderella,8
2023-08-17,229,0.21,0.43,0.04,Cinderella,8
2023-08-18,230,0.35,0.6,0.17,Cinderella,8
2023-08-19,231,0.2,0.38,0.04,Pie,8
2023-08-20,232,0.3,0.48,0.16,Pie,8
2023-08-21,233,0.28,0.43,0.09,Pie,8
2023-08-22,234,0.2,0.38,0.04,Jack-o-Lantern,8
2023-08-23,235,0.48,0.7,0.27,Pie,8
2023-08-24,236,0.32,0.56,0.2,Baby Boo,8
2023-08-25,237,0.06,0.21,-0.18,Jack-o-Lantern,8
2023-08-26,238,0.27,0.52,0.16,Pie,8
2023-08-27,239,0.19,0.45,-0.02,Jack-o-Lantern,8
2023-08-28,240,0.33,0.56,0.06,Jack-o-Lantern,8
2023-08-29,241,0.17,0.46,-0.03,Jack-o-Lantern,8
2023-08-30,242,0.23,0.39,-0.0,Jack-o-Lantern,8
2023-08-31,243,0.29,0.43,0.13,Baby Boo,8
2023-09-01,244,0.33,0.44,0.09,Jack-o-Lantern,9
2023-09-02,245,0.12,0.39,-0.11,Baby Boo,9
2023-09-03,246,0.2,0.43,-0.09,Cinderella,9
2023-09-04,247,0.18,0.38,-0.04,Pie,9
2023-09-05,248,0.16,0.38,-0.16,Baby Boo,9
2023-09-06,249,0.4,0.55,0.12,Pie,9
2023-09-07,250,0.27,0.59,0.1,Cinderella,9
2023-09-08,251,0.1,0.3,-0.06,Jack-o-Lantern,9
2023-09-09,252,0.31,0.52,0.13,Cinderella,9
2023-09-10,253,0.43,0.67,0.18,Cinderella,9
2023-09-11,254,0.32,0.54,0.12,Cinderella,9
2023-09-12,255,0.06,0.27,-0.14,Cinderella,9
2023-09-13,256,0.17,0.33,-0.09,Pie,9
2023-09-14,257,0.34,0.56,0.21,Pie,9
2023-09-15,258,0.14,0.43,-0.02,Jack-o-Lantern,9
2023-09-16,259,0.25,0.52,0.04,Pie,9
2023-09-17,260,0.29,0.57,0.09,Jack-o-Lantern,9
2023-09-18,261,0.11,0.29,-0.08,Pie,9
2023-09-19,262,0.2,0.35,-0.1,Baby Boo,9
2023-09-20,263,-0.12,0.07,-0.33,Jack-o-Lantern,9
2023-09-21,264,0.1,0.3,-0.13,Cinderella,9
2023-09-22,265,0.18,0.43,-0.07,Pie,9
2023-09-23,266,0.08,0.19,-0.14,Cinderella,9
2023-09-24,267,0.37,0.64,0.26,Baby Boo,9
2023-09-25,268,0.06,0.25,-0.11,Jack-o-Lantern,9
2023-09-26,269,0.16,0.34,-0.07,Jack-o-Lantern,9
2023-09-27,270,0.21,0.36,0.04,Cinderella,9
2023-09-28,271,0.34,0.46,0.21,Pie,9
2023-09-29,272,0.06,0.3,-0.1,Jack-o-Lantern,9
2023-09-30,273,0.32,0.52,0.12,Jack-o-Lantern,9
2023-10-01,274,0.2,0.34,-0.03,Pie,10
2023-10-02,275,0.1,0.24,-0.06,Jack-o-Lantern,10
2023-10-03,276,0.25,0.43,0.07,Pie,10
2023-10-04,277,0.22,0.5,0.07,Pie,10
2023-10-05,278,0.14,0.33,-0.03,Pie,10
2023-10-06,279,0.21,0.33,0.06,Baby Boo,10
2023-10-07,280,0.16,0.35,-0.06,Jack-o-Lantern,10
2023-10-08,281,0.21,0.4,0.08,Baby Boo,10
2023-10-09,282,0.27,0.33,0.08,Jack-o-Lantern,10
2023-10-10,283,0.36,0.56,0.27,Pie,10
2023-10-11,284,0.08,0.27,-0.15,Jack-o-Lantern,10
2023-10-12,285,0.42,0.65,0.31,Jack-o-Lantern,10
2023-10-13,286,0.01,0.3,-0.18,Pie,10
2023-10-14,287,0.19,0.45,-0.04,Jack-o-Lantern,10
2023-10-15,288,0.27,0.45,0.04,Pie,10
2023-10-16,289,0.24,0.38,0.02,Jack-o-Lantern,10
2023-10-17,290,0.15,0.48,-0.03,Jack-o-Lantern,10
2023-10-18,291,0.19,0.4,0.02,Pie,10
2023-10-19,292,0.17,0.37,-0.06,Pie,10
2023-10-20,293,0.16,0.36,-0.04,Cinderella,10
2023-10-21,294,0.3,0.51,0.21,Jack-o-Lantern,10
2023-10-22,295,0.26,0.45,0.14,Pie,10
2023-10-23,296,0.15,0.32,-0.03,Baby Boo,10
2023-10-24,297,0.31,0.49,0.12,Pie,10
2023-10-25,298,0.26,0.45,0.06,Jack-o-Lantern,10
2023-10-26,299,0.31,0.48,0.14,Baby Boo,10
2023-10-27,300,0.29,0.46,0.04,Pie,10
2023-10-28,301,0.15,0.35,-0.06,Pie,10
2023-10-29,302,0.18,0.37,-0.1,Pie,10
2023-10-30,303,0.31,0.59,0.13,Pie,10
2023-10-31,304,0.3,0.37,0.13,Pie,10
2023-11-01,305,0.24,0.49,0.02,Jack-o-Lantern,11
2023-11-02,306,0.26,0.52,0.14,Pie,11
2023-11-03,307,0.38,0.47,0.11,Jack-o-Lantern,11
2023-11-04,308,0.19,0.37,-0.08,Baby Boo,11
2023-11-05,309,0.31,0.49,0.12,Cinderella,11
2023-11-06,310,0.24,0.37,0.09,Jack-o-Lantern,11
2023-11-07,311,0.24,0.4,0.12,Pie,11
2023-11-08,312,0.37,0.52,0.15,Jack-o-Lantern,11
2023-11-09,313,0.35,0.64,0.2,Jack-o-Lantern,11
2023-11-10,314,0.35,0.6,0.15,Jack-o-Lantern,11
2023-11-11,315,0.4,0.67,0.19,Pie,11
2023-11-12,316,0.28,0.51,0.12,Cinderella,11
2023-11-13,317,0.35,0.49,0.18,Jack-o-Lantern,11
2023-11-14,318,0.25,0.43,-0.03,Pie,11
2023-11-15,319,0.32,0.54,0.19,Jack-o-Lantern,11
2023-11-16,320,0.28,0.42,0.15,Jack-o-Lantern,11
2023-11-17,321,0.3,0.54,0.07,Cinderella,11
2023-11-18,322,0.36,0.55,0.18,Cinderella,11
2023-11-19,323,0.22,0.4,0.04,Cinderella,11
2023-11-20,324,0.51,0.75,0.33,Pie,11
2023-11-21,325,0.21,0.43,-0.02,Jack-o-Lantern,11
2023-11-22,326,0.19,0.37,-0.04,Jack-o-Lantern,11
2023-11-23,327,0.43,0.69,0.23,Pie,11
2023-11-24,328,0.4,0.55,0.26,Pie,11
2023-11-25,329,0.39,0.62,0.22,Cinderella,11
2023-11-26,330,0.39,0.62,0.17,Pie,11
2023-11-27,331,0.33,0.52,0.17,Jack-o-Lantern,11
2023-11-28,332,0.25,0.47,-0.09,Pie,11
2023-11-29,333,0.35,0.49,0.21,Pie,11
2023-11-30,334,0.28,0.53,-0.01,Pie,11
2023-12-01,335,0.45,0.64,0.23,Baby Boo,12
2023-12-02,336,0.34,0.52,0.09,Cinderella,12
2023-12-03,337,0.28,0.53,0.01,Baby Boo,12
2023-12-04,338,0.33,0.5,0.19,Jack-o-Lantern,12
2023-12-05,339,0.41,0.54,0.19,Pie,12
2023-12-06,340,0.32,0.44,0.14,Jack-o-Lantern,12
2023-12-07,341,0.3,0.53,0.09,Jack-o-Lantern,12
2023-12-08,342,0.41,0.54,0.23,Cinderella,12
2023-12-09,343,0.41,0.7,0.22,Pie,12
2023-12-10,344,0.34,0.44,0.08,Jack-o-Lantern,12
2023-12-11,345,0.35,0.64,0.2,Pie,12
2023-12-12,346,0.43,0.64,0.2,Pie,12
2023-12-13,347,0.26,0.46,-0.01,Cinderella,12
2023-12-14,348,0.27,0.45,0.05,Jack-o-Lantern,12
2023-12-15,349,0.35,0.57,0.22,Jack-o-Lantern,12
2023-12-16,350,0.4,0.6,0.24,Jack-o-Lantern,12
2023-12-17,351,0.46,0.71,0.24,Jack-o-Lantern,12
2023-12-18,352,0.58,0.79,0.36,Cinderella,12
2023-12-19,353,0.52,0.73,0.31,Cinderella,12
2023-12-20,354,0.43,0.61,0.33,Baby Boo,12
2023-12-21,355,0.45,0.64,0.27,Cinderella,12
2023-12-22,356,0.35,0.57,0.17,Pie,12
2023-12-23,357,0.46,0.57,0.31,Jack-o-Lantern,12
2023-12-24,358,0.44,0.57,0.25,Jack-o-Lantern,12
2023-12-25,359,0.5,0.74,0.29,Pie,12
2023-12-26,360,0.39,0.6,0.18,Cinderella,12
2023-12-27,361,0.53,0.72,0.33,Pie,12
2023-12-28,362,0.64,0.84,0.44,Baby Boo,12
2023-12-29,363,0.48,0.7,0.32,Jack-o-Lantern,12
2023-12-30,364,0.54,0.71,0.34,Jack-o-Lantern,12
2023-12-31,365,0.57,0.73,0.41,Jack-o-Lantern,12
