date,usage
2022-07-20,95.4
2022-07-21,95.9
2022-07-22,98.0
2022-07-23,69.8
2022-07-24,57.3
2022-07-25,86.5
2022-07-26,93.3
2022-07-27,92.8
2022-07-28,92.3
2022-07-29,108.5
2022-07-30,65.0
2022-07-31,67.5
2022-08-01,92.7
2022-08-02,90.7
2022-08-03,85.4
2022-08-04,90.4
2022-08-05,82.3
2022-08-06,58.8
2022-08-07,57.3
2022-08-08,85.3
2022-08-09,96.0
2022-08-10,74.7
2022-08-11,87.0
2022-08-12,75.1
2022-08-13,55.6
2022-08-14,63.1
2022-08-15,82.4
2022-08-16,76.3
2022-08-17,77.7
2022-08-18,84.3
2022-08-19,76.9
2022-08-20,57.2
2022-08-21,56.1
2022-08-22,76.3
2022-08-23,89.9
2022-08-24,82.1
2022-08-25,68.5
2022-08-26,79.2
2022-08-27,51.3
2022-08-28,58.6
2022-08-29,73.4
2022-08-30,76.5
2022-08-31,79.4
2022-09-01,80.9
2022-09-02,70.3
2022-09-03,51.6
2022-09-04,50.7
2022-09-05,72.3
2022-09-06,84.2
2022-09-07,77.2
2022-09-08,68.7
2022-09-09,79.3
2022-09-10,62.8
2022-09-11,57.2
2022-09-12,66.6
2022-09-13,71.6
2022-09-14,80.2
2022-09-15,70.2
2022-09-16,75.8
2022-09-17,55.3
2022-09-18,50.0
2022-09-19,73.0
2022-09-20,56.9
2022-09-21,67.9
2022-09-22,71.7
2022-09-23,66.7
2022-09-24,59.1
2022-09-25,50.0
2022-09-26,70.5
2022-09-27,73.3
2022-09-28,79.9
2022-09-29,65.5
2022-09-30,78.4
2022-10-01,50.9
2022-10-02,50.0
2022-10-03,75.0
2022-10-04,73.7
2022-10-05,69.7
2022-10-06,73.1
2022-10-07,70.9
2022-10-08,51.6
2022-10-09,54.4
2022-10-10,81.0
2022-10-11,66.9
2022-10-12,83.9
2022-10-13,63.6
2022-10-14,72.7
2022-10-15,54.4
2022-10-16,53.0
2022-10-17,70.7
2022-10-18,73.0
2022-10-19,71.7
2022-10-20,71.4
2022-10-21,78.8
2022-10-22,54.1
2022-10-23,50.0
2022-10-24,79.6
2022-10-25,76.9
2022-10-26,79.6
2022-10-27,78.9
2022-10-28,71.9
2022-10-29,50.6
2022-10-30,57.3
2022-10-31,79.8
2022-11-01,77.0
2022-11-02,77.9
2022-11-03,84.0
2022-11-04,75.0
2022-11-05,57.5
2022-11-06,54.0
2022-11-07,77.8
2022-11-08,84.7
2022-11-09,83.7
2022-11-10,83.9
2022-11-11,86.8
2022-11-12,56.5
2022-11-13,60.1
2022-11-14,79.8
2022-11-15,83.3
2022-11-16,81.4
2022-11-17,83.0
2022-11-18,85.9
2022-11-19,54.2
2022-11-20,69.1
2022-11-21,79.1
2022-11-22,78.5
2022-11-23,90.8
2022-11-24,89.4
2022-11-25,89.0
2022-11-26,63.6
2022-11-27,60.7
2022-11-28,82.7
2022-11-29,88.1
2022-11-30,84.8
2022-12-01,93.5
2022-12-02,88.4
2022-12-03,58.6
2022-12-04,61.4
2022-12-05,92.6
2022-12-06,88.2
2022-12-07,87.5
2022-12-08,93.3
2022-12-09,93.8
2022-12-10,62.6
2022-12-11,63.2
2022-12-12,95.3
2022-12-13,87.4
2022-12-14,88.1
2022-12-15,92.1
2022-12-16,95.2
2022-12-17,69.3
2022-12-18,75.5
2022-12-19,102.1
2022-12-20,97.6
2022-12-21,98.8
2022-12-22,94.5
2022-12-23,99.9
2022-12-24,69.0
2022-12-25,72.4
2022-12-26,97.5
2022-12-27,104.8
2022-12-28,110.4
2022-12-29,102.8
2022-12-30,105.9
2022-12-31,76.6
2023-01-01,71.5
2023-01-02,106.7
2023-01-03,106.2
2023-01-04,107.2
2023-01-05,103.4
2023-01-06,107.9
2023-01-07,78.3
2023-01-08,83.5
2023-01-09,114.2
2023-01-10,120.8
2023-01-11,106.7
2023-01-12,115.5
2023-01-13,112.6
2023-01-14,89.5
2023-01-15,74.9
2023-01-16,109.1
2023-01-17,110.8
2023-01-18,103.7
2023-01-19,112.3
2023-01-20,111.6
2023-01-21,81.9
2023-01-22,83.2
2023-01-23,126.4
2023-01-24,122.3
2023-01-25,115.1
2023-01-26,114.0
2023-01-27,121.5
2023-01-28,77.1
2023-01-29,93.2
2023-01-30,126.4
2023-01-31,118.7
2023-02-01,113.0
2023-02-02,128.8
2023-02-03,121.9
2023-02-04,92.3
2023-02-05,78.4
2023-02-06,120.9
2023-02-07,124.4
2023-02-08,125.0
2023-02-09,123.0
2023-02-10,128.8
2023-02-11,82.9
2023-02-12,87.9
2023-02-13,127.6
2023-02-14,130.0
2023-02-15,131.3
2023-02-16,122.6
2023-02-17,120.9
2023-02-18,96.7
2023-02-19,92.2
2023-02-20,126.0
2023-02-21,137.9
2023-02-22,131.0
2023-02-23,136.7
2023-02-24,131.5
2023-02-25,102.4
2023-02-26,101.1
2023-02-27,130.9
2023-02-28,137.3
2023-03-01,136.0
2023-03-02,139.9
2023-03-03,128.6
2023-03-04,97.0
2023-03-05,99.1
2023-03-06,125.4
2023-03-07,128.6
2023-03-08,124.5
2023-03-09,133.6
2023-03-10,138.8
2023-03-11,102.3
2023-03-12,95.3
2023-03-13,144.0
2023-03-14,129.2
2023-03-15,127.7
2023-03-16,136.2
2023-03-17,138.5
2023-03-18,95.6
2023-03-19,85.5
2023-03-20,136.6
2023-03-21,130.7
2023-03-22,140.7
2023-03-23,139.3
2023-03-24,132.9
2023-03-25,93.8
2023-03-26,91.1
2023-03-27,137.5
2023-03-28,142.7
2023-03-29,133.0
2023-03-30,140.5
2023-03-31,135.4
2023-04-01,92.7
2023-04-02,96.2
2023-04-03,133.0
2023-04-04,135.4
2023-04-05,132.2
2023-04-06,148.0
2023-04-07,138.3
2023-04-08,93.2
2023-04-09,97.7
2023-04-10,137.4
2023-04-11,136.8
2023-04-12,140.9
2023-04-13,141.6
2023-04-14,135.0
2023-04-15,93.4
2023-04-16,94.9
2023-04-17,125.9
2023-04-18,129.7
2023-04-19,144.0
2023-04-20,145.2
2023-04-21,135.6
2023-04-22,98.5
2023-04-23,97.1
2023-04-24,151.7
2023-04-25,141.7
2023-04-26,135.3
2023-04-27,130.9
2023-04-28,127.5
2023-04-29,95.7
2023-04-30,90.8
2023-05-01,127.7
2023-05-02,131.3
2023-05-03,128.9
2023-05-04,142.5
2023-05-05,138.2
2023-05-06,93.4
2023-05-07,100.6
2023-05-08,133.3
2023-05-09,128.3
2023-05-10,139.9
2023-05-11,134.7
2023-05-12,126.4
2023-05-13,91.0
2023-05-14,87.3
2023-05-15,123.7
2023-05-16,134.9
2023-05-17,139.4
2023-05-18,122.5
2023-05-19,131.9
2023-05-20,86.9
2023-05-21,87.4
2023-05-22,125.0
2023-05-23,123.2
2023-05-24,127.4
2023-05-25,122.6
2023-05-26,127.7
2023-05-27,87.9
2023-05-28,86.6
2023-05-29,120.5
2023-05-30,121.7
2023-05-31,127.9
2023-06-01,126.2
2023-06-02,118.3
2023-06-03,86.4
2023-06-04,89.3
2023-06-05,113.4
2023-06-06,124.0
2023-06-07,117.5
2023-06-08,123.2
2023-06-09,116.0
2023-06-10,74.5
2023-06-11,75.1
2023-06-12,118.6
2023-06-13,119.1
2023-06-14,112.8
2023-06-15,120.0
2023-06-16,108.0
2023-06-17,80.7
2023-06-18,74.6
2023-06-19,111.5
2023-06-20,114.5
2023-06-21,109.4
2023-06-22,111.2
2023-06-23,117.7
2023-06-24,75.6
2023-06-25,82.3
2023-06-26,105.4
2023-06-27,113.1
2023-06-28,117.2
2023-06-29,97.0
2023-06-30,104.9
2023-07-01,78.7
2023-07-02,74.4
2023-07-03,109.1
2023-07-04,103.7
2023-07-05,106.6
2023-07-06,104.8
2023-07-07,110.9
2023-07-08,74.4
2023-07-09,74.5
2023-07-10,101.4
2023-07-11,100.5
2023-07-12,100.2
2023-07-13,103.8
2023-07-14,99.2
2023-07-15,72.0
2023-07-16,80.6
2023-07-17,104.1
2023-07-18,97.6
2023-07-19,104.7
2023-07-20,96.1
2023-07-21,87.5
2023-07-22,62.9
2023-07-23,58.3
2023-07-24,94.3
2023-07-25,95.7
2023-07-26,103.5
2023-07-27,96.2
2023-07-28,93.0
2023-07-29,69.7
2023-07-30,54.1
2023-07-31,93.8
2023-08-01,96.0
2023-08-02,84.3
2023-08-03,96.9
2023-08-04,92.5
2023-08-05,61.1
2023-08-06,66.1
2023-08-07,100.8
2023-08-08,89.9
2023-08-09,89.8
2023-08-10,85.8
2023-08-11,83.4
2023-08-12,65.2
2023-08-13,56.5
2023-08-14,86.8
2023-08-15,83.6
2023-08-16,88.0
2023-08-17,86.9
2023-08-18,90.1
2023-08-19,56.6
2023-08-20,57.5
2023-08-21,78.9
2023-08-22,81.2
2023-08-23,84.9
2023-08-24,86.5
2023-08-25,77.8
2023-08-26,61.8
2023-08-27,64.0
2023-08-28,83.5
2023-08-29,90.5
2023-08-30,77.0
2023-08-31,74.3
2023-09-01,71.4
2023-09-02,63.5
2023-09-03,59.1
2023-09-04,79.2
2023-09-05,80.7
2023-09-06,73.4
2023-09-07,91.0
2023-09-08,79.2
2023-09-09,55.4
2023-09-10,58.4
2023-09-11,80.4
2023-09-12,78.9
2023-09-13,73.7
2023-09-14,79.8
2023-09-15,86.7
2023-09-16,60.7
2023-09-17,61.9
2023-09-18,74.4
2023-09-19,71.8
2023-09-20,76.1
2023-09-21,76.9
2023-09-22,82.0
2023-09-23,50.0
2023-09-24,61.1
2023-09-25,75.5
2023-09-26,74.1
2023-09-27,71.1
2023-09-28,67.9
2023-09-29,80.3
2023-09-30,53.7
2023-10-01,50.0
2023-10-02,69.7
2023-10-03,74.5
2023-10-04,84.5
2023-10-05,74.9
2023-10-06,68.7
2023-10-07,52.2
2023-10-08,52.1
2023-10-09,63.0
2023-10-10,76.3
2023-10-11,75.5
2023-10-12,80.2
2023-10-13,86.1
2023-10-14,59.5
2023-10-15,52.6
2023-10-16,71.7
2023-10-17,90.3
2023-10-18,77.9
2023-10-19,77.8
2023-10-20,77.8
2023-10-21,55.7
2023-10-22,54.1
2023-10-23,75.6
2023-10-24,76.0
2023-10-25,78.8
2023-10-26,76.5
2023-10-27,75.9
2023-10-28,56.3
2023-10-29,54.7
2023-10-30,87.7
2023-10-31,67.2
2023-11-01,86.2
2023-11-02,87.3
2023-11-03,71.0
2023-11-04,55.5
2023-11-05,55.5
2023-11-06,75.3
2023-11-07,78.8
2023-11-08,77.4
2023-11-09,92.1
2023-11-10,88.4
2023-11-11,65.2
2023-11-12,62.7
2023-11-13,79.2
2023-11-14,82.6
2023-11-15,88.1
2023-11-16,79.9
2023-11-17,90.0
2023-11-18,59.6
2023-11-19,59.2
2023-11-20,91.3
2023-11-21,90.4
2023-11-22,86.8
2023-11-23,94.8
2023-11-24,84.1
2023-11-25,66.1
2023-11-26,66.3
2023-11-27,89.4
2023-11-28,93.0
2023-11-29,85.6
2023-11-30,97.0
2023-12-01,91.9
2023-12-02,62.7
2023-12-03,71.0
2023-12-04,90.9
2023-12-05,87.9
2023-12-06,87.6
2023-12-07,99.0
2023-12-08,90.1
2023-12-09,76.7
2023-12-10,57.9
2023-12-11,106.6
2023-12-12,99.7
2023-12-13,98.7
2023-12-14,97.0
2023-12-15,102.3
2023-12-16,70.4
2023-12-17,76.5
2023-12-18,102.5
2023-12-19,103.3
2023-12-20,101.3
2023-12-21,103.4
2023-12-22,105.8
2023-12-23,64.8
2023-12-24,67.0
2023-12-25,109.7
2023-12-26,107.4
2023-12-27,106.2
2023-12-28,107.8
2023-12-29,110.0
2023-12-30,73.5
2023-12-31,72.7
